Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
Tikitaka_Creative,53,95,4.894393,806,12,2902,60
Wishshine,551,99,4.893149,9320,119,27639,603
AmenaEvelyn,66,99,4.955335,1384,1,2457,20
liuweiqiang1993.my,84,90,4.732809,433,29,1436,95
21 Secret,87,98,4.92251,45802,333,80974,1225
demomo2u,225,99,4.951017,5953,13,6948,64
fashionshop119.my,461,100,4.729904,520,6,302,19
daydance.my,263,96,4.910086,3131,15,6677,116
ROSE_BUNDLE,5,90,4.95654,11421,3,2895,29
suziana1419,20,97,4.895318,16007,16,3118,59
VC Art Stat,1403,99,4.922188,122626,1423,336141,4627
ANNA LEGACY,26,99,4.95932,8259,2,1895,13
loting.my,770,97,4.826114,7138,90,11077,446
ESSBRIL,446,8,4.776246,13360,843,53430,2187
Myredrosesb,9,92,4.95037,4264,0,1132,14
La Sweetwear,5271,94,4.76886,23838,1339,65704,3190
Sis & Angel,34,100,4.932427,2817,8,4842,54
jumpsuit makbawang,126,87,4.933246,15627,21,4276,50
shengqian01.my,386,91,4.701114,6009,287,13082,976
every.thing.,70,96,4.883283,16526,52,13251,326
Women&Men Clothes&Shoes,632,89,4.717699,13159,385,16472,1089
Toonies Women Clothing,1267,99,4.622964,27169,659,21312,1753
StyleWardrobe,4,95,4.982068,4647,1,1191,3
thrift.fth,15,86,4.972028,2832,2,736,4
118gogo.my,53,91,4.810009,710,10,1043,43
ahmed1,75,37,4.671017,2702,284,7044,441
Barakatu-Sunnah,60,52,4.923372,1183,22,5735,80
SisterssCloset,48,97,4.971013,31730,4,9317,49
SUGEMIUSI  Maternity Dress ,578,75,4.814954,1903,48,3326,125
MANISAN ,10,97,4.971879,5265,3,1787,7
SKYDOOR,36,74,4.690291,12694,686,28118,1922
knitwear_chantiqq,6,86,4.943778,11643,3,1678,18
DESINCE APPAREL,101,99,4.829935,89798,1999,154403,5201
LE DUODUO Clothing | Pajamas 睡衣,143,91,4.756191,5744,71,5274,328
_lb5wr9vz8jucr5ujt61gzdvz_f3,91,75,4.939024,542,1,411,6
MTHfasion,158,37,4.830906,2038,97,7284,256
Beauty For U Store,432,92,4.895844,5640,88,18121,389
794749060.my,235,99,4.888662,8703,44,8776,194
Kkj_COLLECTION,290,54,4.951821,9065,65,22976,205
xiaomaojia.my--women fashion,3843,99,4.837221,32513,202,25050,868
Funny_Bee,131,97,4.864604,3378,81,6439,166
Joyce dress,44,97,4.842159,11784,156,16651,582
BagMarket,248,85,4.770269,16252,735,36648,1665
BundleMurah.IM,19,98,4.98963,12354,0,1487,2
THRIFT MADNESS,24,76,4.706758,9676,257,10541,703
Rich_collection,49,81,4.916693,2388,13,3139,46
ecoshop Malaysia,1358,50,4.966208,398130,1185,877809,4342
liyanazri__,9,86,4.965894,27430,7,4131,22
Little innocence,2138,96,4.917766,12727,144,25593,340
la-ropa,240,100,4.950107,598,6,3940,36
momoe_boutique,249,100,4.753099,5310,36,1998,117
N&H Closet,4,89,4.929004,9150,7,1962,26
almari.wizalea,4,100,4.982295,27204,0,3685,10
alishaazzalea,1371,76,4.816892,12588,398,25992,925
96 Body Shaper Borong Malaysia Bengkung Korset,815,93,4.90265,9345,53,14144,278
JKShop - Panties Bag Munafie Nubra,233,92,4.821489,48721,1887,127124,4466
Yesmall.my,139,99,4.960329,4960,6,5012,37
Tradlux,532,99,4.933992,21693,139,64275,860
everyday.my,77,29,4.650534,1607,107,2583,179
IMANRIZQ STORE,23,98,4.86572,4352,37,5890,170
iriswong99,325,93,4.818322,9155,206,15403,555
"shirt,belt,bra",4453,98,4.708793,94756,6990,283314,17539
shayaanventures,55,40,4.771642,1805,100,4725,193
Lisa Cosmetics,21,72,4.933321,1360,14,5675,62
Bestdeals.my,39,88,4.943268,4879,28,16719,168
hydeng688.my,303,96,4.873271,25782,269,33528,906
innerfun underwear.my,115,82,4.895202,6183,27,8345,196
Kidslington Shop,131,97,4.980365,12178,5,3220,7
kentsa97,4,98,4.98626,13393,1,1928,3
Fashmily.my,464,73,4.830239,7206,59,5843,253
SHH Bag & Fashion Wholesale❤,392,47,4.866358,20608,198,21790,589
Love Fashion Clothing,1838,95,4.784976,47605,343,22825,1001
farhanaeusoff,8,91,4.928531,10428,1,1981,32
GAGA Shop,447,100,4.916703,3845,12,4581,78
dunia baby,211,89,4.946379,3807,48,18686,173
nursingbra.my,420,93,4.8862,7550,266,45758,1047
petite.j,131,96,4.97799,11963,1,2938,10
WEGO HOME Store,497,91,4.766818,22819,627,32439,1611
YY THAI AMULET,1156,98,4.983402,2634,2,1976,5
babycomeL,200,61,4.863761,67094,570,62404,1678
🌿Peppermint Women's Clothing Shop,4687,76,4.894001,16658,17,5906,144
ATZ CLOSET,55,90,4.971991,6349,2,1867,3
AJS.Store,11,90,4.971622,18937,0,1780,11
Murah Fashion,51,63,4.852675,7339,116,10009,304
Se7ven Vempire,58,92,4.79807,15963,74,6100,264
Nursing Bra Expert,100,94,4.856806,7416,98,17078,490
iBorongMalaysia,67,100,4.916968,14826,243,76654,1154
Mrs.shopmurah,185,97,4.932127,5643,20,6392,79
TS sports,630,94,4.898935,12303,90,18603,352
#JCPMALAYSIA / JC PRINT,846,95,4.896352,96896,1022,230008,4599
JYF Women Apparel,285,47,4.956784,57829,289,217129,1333
million growth,128,97,4.964367,12358,4,2620,16
MVP Sport,150,99,4.892156,21231,221,34638,748
Local_Shipping_Store,86,93,4.948238,16910,48,40710,454
NSA Glamorous,32,95,4.907013,600,3,1291,25
ALMARI.REPUT,97,97,4.979188,8610,0,1143,3
Guyi Women's Fashion Clothing Store,169,39,4.889618,7199,76,8457,171
perfect women,124,18,4.859068,12355,319,33231,985
Vogue House,14,89,4.900541,23539,17,5186,99
xinlei888.my,170,100,4.941368,7164,13,10885,116
Fashion Online.my,240,93,4.775761,4748,54,3759,207
yingjin,480,87,4.878996,6166,259,36621,881
LH BRA.my,185,91,4.8843,3188,17,2799,70
Shadeeya Store,7,99,5,2532,0,238,0
The great witch,346,98,4.765051,3306,44,3082,170
KM Fashion Center,1783,99,4.889347,263799,1808,317425,7265
Kedai Murah Meriah,16,96,4.914026,1948,11,4253,74
SySea,766,96,4.842672,16517,111,16250,542
MZSTAR111,22,96,4.971053,32843,6,10569,49
Cotton_Choice.my,389,99,4.935275,5714,2,1846,21
SweetHeart ST Trading,95,97,4.892952,4798,37,6422,139
D3FASHION,106,95,4.950013,1612,8,8191,75
el_vaily_shop,53,93,4.973737,3184,0,541,2
Seluar Palazo Laici/Selimut Legend,226,89,4.896764,6886,76,18693,355
VONDA Official Store,3253,96,4.877234,87442,195,31588,859
style_boutique,2526,99,4.836164,11750,333,31051,1033
Maniac Clothing,38,9,4.720109,23511,334,13603,869
✨BlingBling✨,4569,94,4.851067,47107,1533,129237,3333
