Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
Lemon & Sugar,13,86,4.942044,3338,2,3934,50
yw.co,31,97,4.932333,470,40,7105,58
BlossomShoppe,69,98,4.897693,4198,30,6821,144
Laŭmoda,365,85,4.898013,2120,39,9453,224
v2optical,1002,98,4.915061,83750,3427,705332,11454
Finetoo Official Store,375,67,4.852432,51600,929,73564,2080
Babyme - Kids pants  dress,3788,84,4.876285,116731,3017,321433,6893
janelow12866,150,94,4.948246,18453,25,19657,190
TX FASHION HOUSE,87,99,4.927234,13116,55,24240,345
B&G Queen's underwear store,107,97,4.913428,7895,32,9412,193
nuritari.my,602,100,4.760069,6934,72,3859,203
HC Fashion Store,303,98,4.890667,93888,878,152265,3508
momo home underwear,206,100,4.918734,7548,49,17048,302
myadamshop,13,94,4.9268,7450,2,987,14
valootao.my,232,96,4.827056,7269,98,8296,319
FAM Enterprise,121,99,4.951589,1909,14,11244,98
TTL Flagship store,167,91,4.8141,12443,183,20692,926
Smart House Collection,95,57,4.921274,8177,89,24000,351
Sinar_Mutiara_Shoppe,129,18,4.921147,5133,93,22647,323
serba_serbua001.bukankaleng.my,61,100,4.910753,4243,7,3225,69
Onni KIKI,131,91,4.959174,4817,5,2258,17
Koleksi Sempurna,263,100,4.961992,41906,46,52036,350
Dora Womencare Wholesale,162,99,4.888619,21841,412,75209,1743
Ready Stock 713,184,99,4.882807,19900,349,51065,1259
babyfashionmall,162,6,4.868613,206863,3053,362266,9685
accentan,152,99,4.87029,7104,241,35991,775
UR Super Store,280,99,4.828354,17976,295,26669,995
SV HANA OUTLET,9,99,4.899245,24757,24,3583,58
nadieralatif,7,99,4.965759,31055,5,3038,16
Chenxinjie  Bra  Panties shop,689,99,4.929638,14105,61,31771,475
Top Fashion Store,7110,91,4.829678,123825,4801,351528,11261
96 Boutique,7,99,4.969554,15485,0,2340,16
UKIRAN LASER,22,72,4.943831,722,4,1025,8
CRT Shop,290,99,4.887728,153205,1531,268420,6274
Pop Closet,1831,95,4.930239,31954,106,39884,477
U Collection,43,99,4.952606,19692,16,21439,176
SIS online store,129,98,4.927512,109260,287,119220,1714
myBAJU2U,83,99,4.941459,2427,19,9606,114
Perfect-Girl pants,2171,92,4.915347,77132,619,106165,1704
nursingbra520,254,96,4.907003,49397,511,117952,2308
Pasaran Ekonomi Berjaya,976,99,4.940778,49920,152,91881,1021
M Wardrobe,7,93,4.956038,1329,5,5879,50
Virene Collection,854,100,4.896168,64033,928,194240,3916
EKS Fashion,77,88,4.803236,13845,319,15678,560
Call Me Queen,60,100,4.879941,1277,33,4292,91
uniquefashionmin,49,88,4.847535,3903,91,8004,235
outfitvalley,170,95,4.955869,2101,6,8783,71
NAZ CLOTH COLLECTION,150,45,4.75218,3801,234,9169,466
ihtisyamabdsamad,21,93,4.970864,4739,0,1018,7
SCOUT CHARITY SHOP,10,99,4.989384,5654,1,1278,0
Lady Fashion,208,91,4.862051,1066,20,1898,50
Katty_Store,448,39,4.720925,37152,3042,105651,5632
Boutique VOI,17,96,4.953803,62976,21,13620,103
Mr Fashion Shop,393,100,4.864934,64655,332,52799,1645
MENGZY.my,370,87,4.892903,7684,130,29261,635
baichun.my,171,76,4.89735,2183,29,5024,99
calista.my,177,85,4.900293,2553,27,5549,110
Elegant.co,8,93,4.985274,9608,0,2995,5
DG Store,299,99,4.878888,86081,1027,141007,3459
Wonder Mama:),20,99,4.943951,747,0,1804,21
ONLINE SELLER,31,95,4.877142,5531,52,7389,205
Samoyedmy,58,97,4.881725,3940,30,6648,150
YAMMY亚米(ms.fashion.my),186,99,4.857284,79094,489,76394,2506
Miss Sumey Shop,1311,62,4.821486,13831,162,17626,712
ECMLN Underwear,494,86,4.9007,38103,372,76759,1581
xzy321.my,14,91,4.783302,708,26,1077,40
Shop Ready Stock,816,100,4.689634,188061,23129,708234,42834
❤ Prihatin Mall ❤,95,96,4.920722,8007,18,8727,166
izmieniagaenterprise,16,100,4.934371,1947,12,7269,82
ninajolissa,6,80,4.959402,8822,2,1053,4
babymomstroller,105,1,4.8738,44325,601,70180,1654
Sexy & Me,18,89,4.98325,16515,5,6624,14
Lucky Girl Underwear Shop,228,39,4.890512,41772,815,165768,3858
Merlove.my,685,92,4.859059,29975,530,84636,2642
Kimyana_Shop💖💖,92,97,4.964444,4019,0,1007,4
RAMAI JAYA SUPERSTORE SDN. BHD.,369,99,4.9543,11031,62,28342,203
JULIET-EL COLLECTION,15,89,4.931233,3790,19,9791,121
db kids fashion,143,97,4.951244,7904,33,16436,132
bestprice1920.my,3115,99,4.792244,10933,610,36991,1544
TOMIBU,858,89,4.802211,7857,136,8580,280
reneerc,87,100,4.959131,3630,7,7178,58
expen.my,4801,63,4.86242,8606,205,23951,623
🎀 𝓐𝓵𝓸𝓷𝓼𝓸 𝓑𝓸𝓾𝓽𝓲𝓺𝓾𝓮🎀,4639,70,4.866462,55601,311,45523,1343
sqfashion.my,798,88,4.768576,44057,1430,86258,4432
Silent66,545,93,4.863549,67727,2225,318939,9147
😻H&L KITTY😻,394,57,4.722478,21489,320,13527,880
manyzeroes,21,89,4.88397,46724,25,5313,133
OF Vogue (Local KL Seller),187,100,4.882363,62751,473,119001,3238
LOSO&co.,6,100,4.981935,22185,1,2959,9
JEC Clothing,4,99,4.967838,5611,0,1609,10
adelia4mumz,27,78,4.936066,3112,2,2681,28
BGM POLO Official Store,206,89,4.859005,68999,385,44641,1331
daduhey women's chothing,1797,100,4.877743,90025,474,75887,1998
UKids Maternity Store,42,97,4.916411,4542,12,2608,39
Maju Borong,129,96,4.88204,13497,317,51999,1282
MrBaju - Bag Munafie Panties Bra,240,90,4.793185,210307,5349,313930,12694
anissmasri,17,95,4.953945,45503,7,7343,50
Ahuang Quality Life Hall,35,84,4.948853,3445,11,6356,62
Fashion Apple,6107,96,4.747992,31181,1797,82760,4051
babybaju,158,6,4.888208,194983,2740,379402,8350
balkhqisghazali,7,84,4.9838,10977,0,2200,6
ainaa.store’s,7,91,4.841799,18053,18,1984,71
WEBEE,1136,84,4.856605,424801,6537,787622,21654
YAMMY亚米(popstore3318),149,99,4.821024,22574,162,18119,725
babyonlinekl,140,7,4.878403,78113,1195,144988,3323
Qianyun123.my,131,88,4.709641,1526,46,1654,109
Forest Official Shop MY,1555,99,4.911348,133213,616,120405,1846
byj fashion,209,100,4.905081,26330,393,82122,1493
Molly & Co,46,83,4.910947,408,7,2319,50
Ladies&Kids.My,81,79,4.826923,1044,10,843,35
4GL Official Store,857,100,4.908878,62173,760,228117,3814
AL BASH ,58,52,4.884086,748,14,2080,47
陆诗人内衣,512,92,4.895144,14639,121,27741,608
XRUI. women jacket ,751,100,4.801055,25266,249,21294,995
jomonline,497,96,4.821979,24393,2055,132506,4348
Duolin Apparel Store,352,100,4.93028,101672,216,64752,899
Madnesssale.Shoppe,16,88,4.964103,2704,1,603,7
rezmawatii,19,97,4.976403,13092,3,6269,30
Gerobok HK,9,94,4.976905,12179,0,3545,14
dicqstore.my,40,100,4.878537,3051,10,2067,53
Prettyintown Shoppe,49,67,4.902028,5230,27,5576,107
Ichika,370,87,4.878454,3911,79,14455,421
Summer Glitz Maternity,931,98,4.927582,38864,134,83388,1110
Haura Bundle,17,95,4.962781,40126,6,5393,35
Romance Fashion House,24,100,4.933067,16843,34,28041,408
dianaambak,15,98,4.988046,11611,1,2308,1
Japan Station,1849,100,4.862803,102211,666,89237,2715
Zaiya,466,94,4.871279,58257,1540,232893,6486
PPF Fashion,467,99,4.903696,86705,745,235239,4623
KbStore,35,100,4.956898,1591,10,10233,67
Real Bubee,142,6,4.872317,75324,1297,162576,4063
summer.10,73,93,4.934657,17563,47,24622,342
SPORT FACTORY STORE,1340,95,4.821615,6641,37,2443,82
Darling_Sofea💕,6,93,4.968198,3781,1,677,3
Vinida Collection,108,99,4.947604,3518,11,8173,71
huajiatang.my,153,93,4.847413,10119,43,4487,125
kapten.co,12,86,4.663581,3801,154,5312,396
paul09trading,62,100,4.920968,17152,70,26303,440
Mcjoden,461,94,4.897372,20353,468,100517,2212
BerjayaMU,415,99,4.944353,10145,37,18224,186
Mamikka,15,54,4.937042,308,5,1383,17
Uwais's Wardrobe,8,94,4.953537,12236,0,1530,17
SEXY ME【bra underwear】 ,925,99,4.841114,57989,1337,163165,5518
S-D Pajamas,6,98,4.859126,3598,87,9660,289
Women pajamas bra&croptop&dress&bag,1522,96,4.818584,75597,1615,127207,4949
You + Babe,25,95,4.911464,4075,56,22342,414
ST Fashion Best,95,98,4.883886,12996,108,15456,369
NASHRAH_ummi,14,93,4.957834,6626,3,2914,21
fudexins.my,737,90,4.843269,3787,97,7399,227
Coyott_Shop,15,96,4.976883,1019,0,1383,5
Dr Fashion,113,70,4.764483,8537,553,24597,1212
YACANNI SHOP - Ready Stock - Sport,246,99,4.916692,69023,456,167718,2744
Love.Bundle,13,88,4.962025,5787,0,957,10
Irdina_Eshoppe,80,97,4.981226,20097,2,3396,7
New Design fashion Collection,27,83,4.867011,2574,29,3555,112
SOKS MART,241,100,4.895857,59449,770,156178,3285
Sunny store(Quality & Lowest price),2503,73,4.795856,57469,580,46456,2125
future_roses,278,97,4.933528,41433,189,80826,1132
Nissa Knitshop,4,96,4.981179,4880,0,911,3
👑👑fashionme,2641,96,4.741707,10394,641,29111,1547
B&M Wholesale Fashion,14,100,4.971061,1011,0,316,2
Qearlmall,110,99,4.859891,34027,156,23141,764
MY STYLESZ,48,100,4.934091,12259,39,22752,304
ViQ Official Store,366,91,4.894674,7329,17,4259,86
Fanci,551,99,4.889847,38976,53,15654,401
llbeauty2727,127,86,4.869433,3530,77,7367,165
iambeautiful.my,2334,80,4.692037,8804,337,12396,785
liezasabri,26,80,4.93194,21523,11,5148,76
Mega Deal,299,99,4.934502,124147,430,281810,3758
Mai.Beli,42,97,4.974853,11463,3,2164,8
wa shop,57,84,4.773073,1377,36,2712,131
Momo House,617,100,4.924081,461134,6629,1546772,21003
AXn Collection,145,93,4.813434,9196,180,13435,530
BAJU SELESA,17,95,4.946011,75873,27,13616,134
Beautiful Cabin,116,91,4.862178,108031,896,123677,3616
Alisa Underwear Clothing,22,82,4.749201,4616,129,6539,375
ZANZEA Official Shop,6827,98,4.90498,662677,2075,602113,12576
AWS1688 bra panties shop,408,96,4.876426,252654,3402,544275,13737
tinchak.my,361,92,4.752888,18495,327,19280,1157
Housewife88 -LBS OCEAN TRADING,60,82,4.940932,906,0,2685,35
CharmingCharming Brooch Accessories,315,99,4.948341,1731,11,6212,46
NS.bundle,28,95,4.835217,14922,30,2232,67
💖💞Daxima Fashion Clothing💞💖,515,98,4.889899,11805,21,4972,130
medela bra,236,92,4.908767,29122,188,47711,890
Mikaze,458,95,4.867258,13216,305,48866,1411
KORUSH SHAPING WEAR,30,91,4.417625,490,31,310,11
topcollection01,150,4,4.711376,13743,591,18584,1088
 Shapewear SUMI kissy 批发 经销商,301,97,4.863017,15576,144,18612,500
blacksheep.store,552,99,4.887945,7177,58,11508,264
elmanhafizie,11,85,4.810307,4221,18,899,39
Almari Kedai Cikgu,17,95,4.977556,25668,5,5050,9
"blingbra🌟High quality bras,panties",272,96,4.90461,15623,100,25435,524
LAceSHow-Carefully Selected,645,45,4.774106,23442,576,36536,1800
secrethouse68,113,98,4.948676,7732,17,10477,112
MISS LILY COLLECTION.CO,25,95,4.980826,4466,0,1482,4
Comeandbuy,3407,89,4.736452,89880,6022,305974,16074
zonria_zonria,296,93,4.964705,7162,29,18422,120
wonder.ladies,17,89,4.891083,488,29,4978,104
L&T76 SHOP,193,96,4.938009,4062,42,20656,246
Twoo Life,146,66,4.893853,5656,34,8882,188
ILOVEDIY:SuperMarket,5884,96,4.872237,19401,589,72266,1734
home&fashion shop.my,880,93,4.804475,7634,80,6499,298
Haircare Center,197,100,4.957643,1662,13,5929,35
yongtongfushi.my,255,99,4.952781,24316,52,27806,254
Voguevintage.my,5,94,4.970919,9598,2,2384,14
LANCE & Fashion Wholesale,425,66,4.768538,6037,56,3604,189
nurelisashop.co,3,90,4.983796,13171,1,1919,4
STOKIN MUSLIMAH HIJRAH DD,7,85,4.961963,2590,10,7203,45
fangxiaowei214.my,48,82,4.858621,1231,12,1201,25
YAA collection,16,35,4.836689,872,14,903,24
kasalife.my,891,49,4.376681,24009,1263,15545,2239
aioona,52,94,4.938685,1226,9,5967,66
yingying855 (SS),132,97,4.813824,12325,185,18573,745
Pesona Muslimah,39,87,4.954536,1654,6,4855,39
Pick N Pay,5,99,4.964539,20558,1,2396,15
Preloved Clothing Kids&Ladies,31,86,4.694359,4971,51,1832,129
APAI X OOTD.CO,16,94,4.971537,17188,0,2359,14
RABIGOO (ONLY ONE SHOP) NO DROPSHIP,1414,93,4.946726,56299,773,261772,2358
longjeansshortjeans,3035,96,4.819804,8634,203,16149,599
arjungo.my,79,97,4.947686,1321,2,1490,17
Herman,287,100,4.835746,67928,3260,280924,9211
Matahari.my,192,99,4.920762,2381,51,15855,226
TheKhairuns,16,93,4.980707,5741,0,2164,5
sisters store,14,88,4.930667,6153,3,841,12
lanshi.my,559,73,4.850907,6313,223,23962,607
buycycle.my,236,96,4.933726,1426,25,6992,85
bayline2019,1907,96,4.818969,29461,222,19704,786
KK Smartbuy,223,97,4.906651,25068,155,50447,911
JiemiStore.co,139,94,4.953482,24513,18,14017,129
medelabra.my,181,88,4.896085,2469,24,4301,85
zzpylsm.my,85,52,4.830435,759,4,440,22
House of Clothing,900,97,4.759762,17095,298,20852,1196
OWN VINTAGE SHOP,23,95,4.978702,16852,1,3300,13
9u9u9u,46,66,4.884084,554,28,3854,76
Garden Store,1120,95,4.849559,137974,2222,252633,7745
KawaiiShop Boots Shoe,106,96,4.922721,15206,46,18672,293
zhishang,31,92,4.892043,972,8,2140,51
cc   ,2206,97,4.818246,19805,179,19420,796
ksvintageoutlet,44,91,4.934916,7789,2,1423,18
A_Abundlestore,22,94,4.981187,7954,2,2212,5
Felacity Lingerie Shop,26,94,4.922985,5363,18,7636,115
DMD Mart,118,100,4.946727,2753,10,6341,59
Rubylong Pajamas Store,160,93,4.913719,1271,18,5420,105
Sasuke store,13,89,4.964243,9921,2,2767,21
Sweet Heart Bundle,2,97,4.990826,1185,0,117,0
AshieraShop,29,95,4.676846,2462,38,1688,127
Thrift Store by PUB,12,76,4.967433,3098,1,548,3
MS Julia（skirt/dress/shirt/tshirt）,1139,94,4.814763,7891,53,4927,219
Deals20,559,74,4.775909,11181,99,6643,353
upin.my,165,76,4.464935,7485,140,2345,300
bellemoda*skirt+dress+top+underwear,2655,48,4.747615,6591,171,10421,541
taqadamia enterprise,41,100,4.901104,19732,24,4333,93
_mpy7mwm2k,3,59,4.920723,3800,1,835,14
AKAK SWEATPANTS,126,96,4.989564,7280,1,2355,4
Surikids Boutique,409,98,4.963455,5385,16,11578,64
moilygoods.my,3715,96,4.878603,13217,210,21607,517
sunshine44,2899,96,4.751104,708,78,3605,181
Hoe Hon Distributor Sdn Bhd,2231,63,4.934662,138334,2183,610771,6434
LYstore,1216,79,4.850519,20828,303,31936,999
cattybuck,11,92,4.991776,11692,0,1359,1
raffar.co,3,100,4.988432,10844,0,1045,4
dobebe888.my,390,96,4.901931,1499,8,2057,45
TAOZI,110,43,4.864782,17000,96,18740,575
royalstore.my,56,99,4.922896,7026,36,12399,185
surayaborongku,110,70,4.843494,6093,372,31560,919
Simple Health,72,99,4.897539,15711,278,47995,940
Mamelida Online Shop,7,90,4.994799,7861,0,1802,4
Raisyah_Eshop,34,77,4.922368,5024,5,1577,25
Louis_factory,159,98,4.974152,39635,38,67999,269
kedaikita2332,10,36,4.918803,393,8,1662,29
cozyjuly.my,58,100,4.890186,2431,10,1870,36
secret_gardenss.my,358,96,4.787628,15316,112,10986,523
loboparfume,38,88,4.778977,6091,106,6635,343
PYJAMAS BY NONOMSURAYA☑️,5,86,4.945043,14415,10,3384,23
FASHION_MIKE,181,91,4.866584,9771,54,8008,246
VC Store,278,99,4.890171,9987,100,18372,457
KI KI,299,72,4.790946,12528,193,12806,583
J.C.store.my,505,98,4.923122,6213,26,8668,142
DINOSTUFF,7,81,4.994836,3844,0,1239,3
Xavera Collection,278,100,4.699748,3101,50,1846,140
wonderful living official store.my,182,100,4.941358,1450,0,2035,27
👗Nice Hall👗Korean Women's Wear,420,62,4.800471,896,22,1241,44
oddstyle,224,92,4.709933,6381,798,28841,1607
Ellysha Collection,57,74,4.657775,6983,173,5651,454
Lesya Shop,23,95,4.924337,1084,1,1272,15
mallynstore,33,93,4.898495,8059,31,8485,187
ayeitsbal,67,99,4.985106,9832,1,2133,3
Hajjar15,7,94,4.974586,5392,0,1011,3
ATP Professional Business Solution,1214,96,4.855129,196659,6723,607859,16714
lucky520.my,188,99,4.887046,6418,26,5359,121
WDL SHOP,7,92,4.969655,6491,0,1702,11
Odilo,1708,78,4.797528,36071,1187,68508,2771
saudagar.my,150,50,4.802972,13777,163,10586,414
KEDAI RUNCIT SAYA,178,55,4.905808,7250,82,17641,335
Highlander Thrift Store,4,86,4.971731,2275,0,812,6
You Me,35,98,4.931898,1330,3,4091,54
Kids Fashion Dress,2439,89,4.885891,42880,899,121555,2579
Oren Sport Distributor | Jute Bag,93,91,4.895914,2036,46,8079,113
HANNAMIKA,15,97,4.96252,803,1,1900,15
pooloos.my,299,99,4.901153,4598,16,4833,88
Mashi_Shop,9,95,4.987421,3963,0,539,0
adiandiandian's store.my,108,95,4.912688,1386,7,1451,20
Socksland,269,87,4.921698,7705,31,25122,341
changtebak,12,83,4.958785,589,1,494,4
FACTORY_Outlet,16,90,4.847666,1703,22,2073,66
fashioneticstore,8,91,4.921251,24649,9,2843,50
SyaifaDiela_HQ,59,93,4.959161,3166,1,5564,42
Chic Dodo,225,96,4.864335,3491,15,1858,53
hodroad.my,4932,45,4.659001,22850,1532,51614,3574
newnew.my,217,82,4.856583,5098,43,5981,209
SetiaBorongSales,206,70,4.781017,27508,3053,141836,5340
Clara Women's Apparel Store,1172,83,4.77082,12516,98,6255,298
Fashion Ready Stock.my,325,26,4.63394,8202,302,10055,804
tingniuer Women's nightwear,355,98,4.89463,27591,135,26285,554
Butik_rezekiaida9,201,91,4.943538,8635,3,2478,26
Little Apple,3,88,4.90847,510,4,2207,41
Queen Secret,415,98,4.882322,11547,100,22964,565
KJ_Store888,24,100,4.946148,901,4,1342,14
Hainun.SCARF,38,91,4.786235,1619,41,2394,112
norsyamimiishak,12,92,4.956731,1383,0,212,2
Sorella Malaysia,188,47,4.894262,40744,214,26436,462
visashine,1118,79,4.797817,8365,325,22351,889
🧡Fashion B H 🧡,80,90,4.849348,1860,4,818,30
CANVA HOUSEWIFE,131,100,4.949746,4116,26,18632,162
SKIN EVER Store,185,94,4.885977,1248,5,1418,35
F.M premium bundle,19,85,4.942902,11089,6,2010,18
lotuskashop.my,88,100,4.885972,3979,19,2366,60
优米潮人馆-优质女生服装批发价,936,80,4.793669,6231,84,5935,269
indoyoko.my,248,90,4.839632,8604,33,2985,101
Beautiful House.my,296,20,4.889503,2255,41,6788,145
Wann Beauty/Obj Bundle,33,81,4.964416,5332,0,1186,6
AZ  GALERY,90,88,4.846097,3169,48,5450,183
pbfamily.my,81,100,4.841858,1299,10,1672,63
xiangjiaer.my,110,78,4.834379,998,8,768,31
TR Fashion ,41,96,4.865267,723,21,2310,63
Lisa Pajamas.my,416,98,4.944342,20714,43,18564,195
MJ LIVING WHOLESALE,125,99,4.912393,16851,203,40940,703
Weird Bundle,44,100,4.943503,10321,0,2732,32
YT IDEAS,185,97,4.944703,18558,63,40727,457
YESMAN.my,334,91,4.727941,1547,51,2303,131
aceboutique.my,4488,100,4.683892,24606,503,15893,1134
JULIZZ,21,60,4.908046,7816,12,2026,33
Fashion Go ,519,78,4.648538,15065,1586,44287,3356
tandyshop,1169,19,4.776666,9130,433,22775,1062
球球女装店,414,99,4.88101,1086,1,812,24
KR AUTHORISED SHOP,99,42,4.838649,6563,260,25224,781
AT Fashion,1367,99,4.940901,4169,5,1704,14
harrazriz,113,83,4.977906,9620,1,2318,8
BeeB Online Baby Store,454,95,4.946333,41278,322,143388,1362
Linki---Fashion women,648,96,4.79356,45155,430,30944,1429
FH Fashion House,233,93,4.84232,68413,552,100524,3631
IHH.co,278,80,4.910844,15237,137,34372,605
eyecsl,694,92,4.89097,10755,140,23345,526
KGT_KG Trading,947,100,4.921102,42010,332,86035,1284
Manwei Medical Scrub Suit Uniform,397,100,4.839836,10904,189,22418,764
anyic.my,1663,76,4.810873,436,34,2184,82
mary_fashion.my,180,89,4.789289,2458,16,2476,126
GreatonlineG9,711,86,4.927784,63394,986,215917,2483
THRIFT QUEEN SHOP,16,96,4.882394,10364,9,1573,41
Z.C.K.my,31,81,4.813581,430,27,1530,51
QPplus,254,99,4.890186,1660,14,3339,85
GM Bra Panties Pyjamas,141,98,4.921053,5180,11,5562,99
🌷SYANAZ SHOP🌷,94,92,4.976415,14781,0,1858,8
Cool Rack,271,88,4.822196,11647,37,2639,77
wsbz.my,825,62,4.724866,5486,82,3518,248
Nabila diapers,44,39,4.892933,15930,17,3281,66
hellogalaxy.my,8,93,4.962937,14082,1,1685,12
"RUNKAR-clothing,shoes,bag",586,100,4.811551,16913,125,11580,494
SH_Collection,83,95,4.964643,27171,23,11200,60
Women Clothing wholesale store,1409,77,4.605607,9582,877,19875,1619
eisyakhalis,71,87,4.870348,1313,6,828,20
The 1.9 Lab,800,97,4.937695,154339,737,344538,4094
Popular House,60,99,4.749778,1431,147,6505,351
huihui0312.my,518,93,4.731865,6635,409,18031,1062
Beauty_kaseh,17,85,4.81662,9184,67,3223,81
🐰KIDSUP SHOP🐰 ,3946,93,4.903941,68507,1959,238043,3731
hanakhaleeda19shop,55,49,4.933063,3469,7,1485,17
jajasweet,1,60,4.993865,3503,0,636,0
MILLIDR（New women's clothing store）,248,92,4.83803,12730,103,10341,385
Deenara®,17,99,4.940329,7256,8,4012,41
putri.yassmin,85,90,4.951062,2933,7,2796,24
Le Harvest,52,98,4.929771,28270,22,8609,102
sherraa,3,89,4.972484,13903,2,1647,8
Kid Underwear,182,79,4.901133,19299,338,59024,1188
RS MY Store,1056,100,4.940502,10564,63,25602,287
ineeco.my,535,93,4.792087,4006,81,6448,328
La'Bella ,66,95,4.886084,1405,18,3142,75
FunnyFashion,249,83,4.800903,2437,41,2176,94
ButiK PluSSizE MuraH,11,97,4.965495,7892,2,1736,8
Rosey Thrift Store,12,97,4.970231,10399,3,1792,8
Born2shopwardrobe,41,95,4.964,17560,5,5557,37
WYR CONNECTIONS STORE,233,94,4.880812,60252,665,109326,2488
VmewSher Office Store,432,100,4.919241,11750,12,4642,72
TRUEDREAM STORE,112,99,4.832732,11783,52,6755,253
borongmalaysiatermurah,1862,87,4.832196,3855,88,9653,350
FW.CO,32,98,4.9672,5834,0,1337,6
karlidamusa,101,92,4.90366,1152,15,1945,27
PAKAIAN MUSLIM & KEPERLUAN IBADAH NIK ADIB,499,43,4.907965,5918,103,25613,453
home360.my,354,92,4.907442,36552,335,77264,1412
LITTLE SWEET HUT,105,97,4.97643,9719,2,3708,17
datgal.thrift,4,90,4.984944,11789,0,1855,4
shashaerisya,10,97,4.974026,5631,0,690,3
shawlpublika,38,88,4.849714,18711,26,2255,65
DEARSIN OFFICAL,134,87,4.867891,9937,99,12336,353
miss.candy.my,356,100,4.771356,5907,154,11364,623
TRIPLE.W. 🌸,12,95,4.980318,6815,1,1508,3
Bolster Mall,871,86,4.791623,23442,600,39677,1717
popularsocksshop.my,95,51,4.820436,1749,10,1279,51
qurratrazak23,3,87,4.943396,92,0,118,2
asterxuan,26,99,4.964953,425,0,503,3
Beauty_Store,3662,95,4.82236,26873,2318,161649,5187
ain3118.my,123,43,4.562704,6951,327,6212,542
SHOP.TERGILA,64,67,4.872881,1325,3,119,2
onhao.my,297,82,4.789441,2077,17,1573,80
rerama.terbang,2,98,4.987775,4766,0,1094,2
BBS Mall,136,99,4.945456,3411,7,11354,137
ainazaidi,60,63,4.885321,198,5,664,10
FeelingMall,114,94,4.852025,28916,131,18104,618
ZSIIBO Official Store,318,53,4.685247,4575,178,6193,441
TOP FASHION 2U,99,97,4.928303,18158,50,23995,323
Women's Blouse OL Work Shirts,317,97,4.797356,3291,43,3729,146
ULALA.SHOP,5,92,4.829493,1025,8,872,32
GDTima.my,1013,92,4.831814,19561,92,10831,411
nursyaf.co,11,90,4.925898,51700,27,8644,112
XiYuan Underwear Official Store,98,38,4.664872,1996,128,2764,166
💖CC Apparel & Boutique House💖,2477,77,4.792349,16090,146,11222,517
hengchengcheng.my,163,100,4.797521,1168,17,1173,58
FM1602,53,94,4.963868,5816,3,4001,27
pink baby.my,351,98,4.763246,4757,102,8277,480
Rosaellashop,9,86,4.909259,19506,45,6707,106
Maybuk.shop,12,89,4.942941,16976,5,2246,23
Hotexy Baju Tidur Perempuan,268,92,4.85298,23736,161,18161,577
YIYI888.my,558,98,4.87788,1969,9,1328,33
caring shopping,100,98,4.885128,6896,116,16938,396
Leafish,299,94,4.941412,9399,55,23553,246
HC Selection,200,95,4.947636,1729,7,6783,75
JiangKao Fashionable Store,1454,98,4.880811,14357,214,43972,1179
Kirana,11,82,4.976805,20658,0,2532,12
lesley_wardrobe,911,77,4.866833,4351,102,13039,326
pemborongmalaysia_,1726,93,4.778786,13817,292,15340,694
ddiy_shoppe,32,95,4.947423,2688,0,1034,17
Fabuwawa Enterprise,425,94,4.84046,3345,71,6379,229
borongkings,1702,99,4.866152,11349,844,72904,1766
pingshun998.my,347,91,4.799401,13040,208,17268,875
pipimother women's clothing,722,100,4.769547,9655,129,9794,543
YR_iBoutique,8,97,4.985664,28336,0,3890,6
KHATULISTIWA COLLECTION,447,100,4.924466,4208,20,7488,106
HOTSALE,517,91,4.775422,13335,612,30421,1380
Qrusnita HQ,6,94,4.958077,1203,1,3399,23
HALO-MOLLY (Bengkung Corset Girdle),118,85,4.894168,2667,64,12477,304
R&S Ventures Deco & Plus Size,28,98,4.967541,399,0,1576,11
FASHION HOUSE,109,74,4.846507,36854,654,52897,1536
d.ktshop,213,94,4.922703,4698,25,7594,110
bowen2018(Bras Sport Bra Pants),129,97,4.887986,8637,47,12411,325
BEHAUL Malaysia,282,99,4.935868,36308,36,27911,358
AlifImran Bundle,9,93,4.971193,2645,0,778,6
Luxeglowstyle 🌼,14,82,4.960483,17200,4,3280,20
Eastleaves Fashion,215,100,4.822845,5749,70,8596,342
Kawaii Cindy (VLive Mall Trading),55,96,4.974048,18513,5,8724,38
qzchongyang.my,233,91,4.880486,4789,33,8414,247
7usna.co,7,99,4.906991,371,4,1697,38
forall0210,97,98,4.849446,2316,119,10604,324
Tshirt Family,760,98,4.824781,23336,123,9260,323
hukalohbah_store,11,76,4.979239,1903,0,414,0
Silvanna_Empire,50,81,4.907913,611,12,3606,71
Pyjamas Hari-Hari ,68,98,4.943927,7200,21,13161,152
Batik sarung classic Inter Hytech,40,97,4.95219,23990,8,7770,79
wardrobe.byifa,14,99,4.953834,10560,3,1451,9
Magic__Pocket,200,69,4.836499,2106,84,8042,262
Feimefeiyou,2344,80,4.826215,70432,1627,139696,4801
ucuuu.thrift,3,93,4.987382,2457,0,340,1
liana5882,37,95,4.975337,8767,2,3424,12
ANGGIE ONLINE  SHOP,32,98,4.896193,2206,17,5951,131
QnQ BabyKids,386,94,4.959928,33525,57,43691,312
i30bs2kjaf,3,90,4.969377,5464,0,1009,5
ecgroup,106,100,4.946133,33936,97,57183,606
tnsclothing.my,66,,4.845098,2706,2,501,22
BONI FASHION HOUSE,111,65,4.871051,1931,38,3944,110
007factory.my,120,7,4.705627,19902,209,11436,755
SJ happyho socks,123,99,4.932753,2264,12,4257,65
